parcel_number,street_number,street_name,notify_date,notify,status,latitude,longitude
003 004302900,670,18TH ST,8/25/10,Y,Done - Level 1,37.80925167456172,-122.27467305965938
022 033700300,2515,IVY DR,10/20/10,Y,Level 1 - missing data ,37.80180537002334,-122.24169195855684
029A130101601,3525,DIMOND AVE,11/15/10,Y,Level 1 - missing data ,37.80142261857486,-122.2173934399964
010 078503403,366,EUCLID AVE,9/7/10,Y,Exempt - no large openings,37.81239721700902,-122.25176512565899
010 077301202,270,VAN BUREN AVE,8/24/10,Y,Incomplete Evaluation,37.81138388910096,-122.25712799222217
012 093000401,715,OAKLAND AVE,10/20/10,Y,Done - Level 1 ,37.82133952561874,-122.24919871893358
024 053102400,3815,PARK BLVD,9/27/10,Y,Done - Level 1,37.804982991454324,-122.2282416811366
032 208302300,1904,42ND AVE,10/22/10,Y,Level 1 - missing data ,37.775992362788834,-122.21269118404115
022 034001802,2500,IVY DR,11/10/10,Y,Done - Level 2 Required  ,37.80137751833004,-122.2419741837474
010 080801100,391,FAIRMOUNT AVE,8/25/10,Y,Done - Level 2 Required,37.81904811305085,-122.25722379178367
012 101004100,466,41ST ST,9/13/10,Y,Exempt - engineer's letter,37.829842137827654,-122.26200651546374
035 236100700,1541,50TH AVE,11/15/10,Y,Done - Level 1,37.77125113325763,-122.2077985970659
021 023101700,1820,5TH AVE,9/20/10,Y,Done - Level 1,37.79845144300141,-122.24949611736538
022 033700100,2551,IVY DR,8/25/10,Y,Done - Level 2 Required  ,37.801805165587105,-122.24129755612995
019 002100200,515,E 11TH ST,10/26/10,Y,Exempt - no large openings,37.79400235636604,-122.25566952423723
020 015901400,2268,E 15TH ST,11/15/10,Y,Done - Level 1,37.78485132963414,-122.23557303085713
024 054402200,4306,PARK BLVD,9/7/10,Y,Incomplete Evaluation,37.80767301039326,-122.22115705505695
029 098205500,2856,CARMEL ST,,Y,Level 1 - missing data ,37.802087919410376,-122.20361130802185
010 077701201,420,PERKINS ST,11/22/11,Y,Done - Level 1,37.810012321310296,-122.25534798333662
015 135801701,5908,M L KING JR WAY,9/22/10,Y,Done - Level 1,37.844459560746856,-122.27027838225219
028 095103601,3418,SCHOOL ST,,Y,Incomplete Evaluation,37.79199555782699,-122.20630078474704
014 125600402,5420,CLAREMONT AVE,,Y,Incomplete Evaluation,37.84130357730644,-122.25825186247992
008 063300901,1880,JACKSON ST,8/24/10,Y,Incomplete Evaluation,37.804730280347165,-122.26310148067964
010 078800400,269,PERKINS ST,9/3/10,Y,Level 2 - Missing slope,37.81381456931421,-122.2554304116546
032 211200200,2112,35TH AVE,9/22/10,Y,Incomplete Evaluation - Unclaimed,37.78424471389745,-122.21619414349203
011 084201100,827,WARFIELD AVE,9/1/10,Y,Incomplete Evaluation,37.81369699026205,-122.24432091277185
010 080401201,82,GARLAND AVE,,Y,Incomplete Evaluation,37.817193951255305,-122.25819516287197
010 079403101,222,OAKLAND AVE,10/28/10,Y,Done - Level 2 Required  ,37.81570113621024,-122.2579773737472
022 033900300,2709,IVY DR,9/2/10,Y,Done - Level 2 Required  ,37.80212076091337,-122.23922859807527
022 031000500,617,BROOKLYN AVE,,Y,Incomplete Evaluation,37.80425808300327,-122.24840718546004
032 204603000,2218,HIGH ST,,Y,Incomplete Evaluation,37.778583612604265,-122.20747974655899
023 043203301,765,MACARTHUR BLVD,,Y,Incomplete Evaluation,37.80693576936767,-122.24172822403874
022 034200400,921,E 28TH ST,,Y,Incomplete Evaluation,37.80094781859707,-122.23815508370379
021 021900400,741,E 18TH ST,,Y,Incomplete Evaluation,37.79623177116924,-122.24796029855509
023 039401200,1074,E 33RD ST,10/13/10,Y,Done - Level 1,37.802843977165175,-122.23503109302698
023 039101900,1100,BELLA VISTA AVE,11/22/10,Y,Exempt - no large openings,37.8007215599659,-122.23539452410809
008 062900200,159,17TH ST,9/20/10,Y,Exempt - no large openings,37.804161524542955,-122.26301363405734
012 093802801,188,MOSS WAY,8/25/10,Y,Exempt - no large openings,37.82275261363575,-122.25518549957414
038 317706600,5760,FOOTHILL BLVD,9/2/10,Y,,37.7722343137988,-122.19258185011437
012 098701900,67,GLEN AVE,,Y,Incomplete Evaluation - Unclaimed,37.824940205687355,-122.25108143677436
021 026800405,2011,10TH AVE,8/27/10,Y,Done - Level 1,37.796384126994894,-122.24408895668347
021 022600200,262,HANOVER AVE,10/7/10,Y,Level 2 - Missing slope,37.80239615747604,-122.25264261733408
008 065500500,146,GRAND AVE,10/26/10,Y,Exempt - no large openings,37.81150713203724,-122.26402473141252
020 021701100,926,E 17TH ST,9/15/10,Y,Done - Level 1,37.794605875227674,-122.24705183754864
023 047800600,3719,EMERSON ST,10/26/10,Y,Incomplete Evaluation - Unclaimed,37.80435379478645,-122.23081499316088
010 078504300,320,EUCLID AVE,8/24/10,Y,Exempt - engineer's letter,37.81366047756203,-122.25232415603298
023 040401700,882,CLEVELAND ST,,Y,Incomplete Evaluation,37.803305289781214,-122.24011280611778
022 030803101,269,HANOVER AVE,10/8/10,Y,Exempt - engineer's letter,37.802785665926095,-122.25267412483554
010 077800200,405,BELLEVUE AVE,9/2/10,Y,Done - Level 1,37.810278163424,-122.2528570442481
048 562601900,10010,MACARTHUR BLVD,11/3/10,Y,Exempt - no large openings,37.745839005084854,-122.15558945548158
010 078801601,266,ADAMS ST,8/31/10,Y,Done - Level 2 Required ,37.8133297774316,-122.25730012097716
011 083703701,765,RAND AVE,,Y,Incomplete Evaluation,37.81193408285739,-122.24385893147713
013 113403400,206,MATHER ST,8/30/10,Y,Level 2 - Missing slope,37.83163504602614,-122.24941464385813
012 100402900,4126,OPAL ST,9/18/10,Y,Done - Level 1,37.82970899060043,-122.25808242114859
021 022101400,524,E 17TH ST,9/7/10,Y,Done - Level 1,37.79764713280206,-122.25041732171461
010 078505101,272,EUCLID AVE,6/29/11,Y,Done - Level 2 Required  ,37.81506492051079,-122.25290784861846
010 077600100,429,STATEN AVE,8/27/10,Y,Incomplete Evaluation,37.80954339340231,-122.25402186439385
010 078801300,255,JAYNE AVE,11/16/10,Y,Incomplete Evaluation,37.81288014286167,-122.25708361377147
011 084001800,840,YORK ST,,Y,Incomplete Evaluation,37.81314614900131,-122.24299617981382
021 027301300,1930,7TH AVE,9/14/10,Y,Done - Level 2 Required  ,37.79775615963466,-122.24673007833798
016 140902101,335,ALCATRAZ AVE,9/16/10,Y,Done - Level 1,37.85078915922594,-122.25389376983216
025 072202000,2930,E 16TH ST,,Y,Incomplete Evaluation - Unclaimed,37.78046112520403,-122.22581126879257
048A706900600,309,63RD ST,N/A ,,Incomplete Evaluation,37.85014433905477,-122.25273887603795
038 323301500,1423,57TH AVE,,Y,Exempt - city inspection,37.76672758304762,-122.20124272914374
020 018001001,220,E 15TH ST,,Y,Ask for exemption - did not review ,37.7984983757918,-122.2548146394648
032 211503602,1921,36TH AVE,8/26/10,Y,Incomplete Evaluation - Unclaimed,37.78127058313963,-122.21836191191335
020 013700900,848,INTERNATIONAL BLVD,,Y,Incomplete Evaluation,37.793087014910476,-122.2504128819313
023 040300800,3025,PARK BLVD,9/1/10,Y,Exempt - engineer's letter,37.80329091585413,-122.2376598170426
010 079602200,268,VERNON ST,11/2/10,Y,Done - Level 1,37.81401275713223,-122.25779643183857
010 078300700,375,BELLEVUE AVE,8/31/10,Y,Exempt - no large openings,37.81164582421985,-122.25327636470546
010 083403200,580,JEAN ST,9/2/10,Y,Done - Level 1,37.817346938878316,-122.24786987953007
010 079200300,447,ORANGE ST,,Y,Incomplete Evaluation - Unclaimed,37.81796137302354,-122.25385577405937
025 073100903,1633,28TH AVE,9/3/10,Y,Incomplete Evaluation - Unclaimed,37.78223556481365,-122.22807152019911
011 084101700,872,WARFIELD AVE,9/2/10,Y,Done - Level 1,37.814029407393065,-122.24322032316321
040A345700400,8025,GREENRIDGE DR,10/25/11,Y,Level 1 - missing data ,37.7735064618978,-122.15405822944003
010 079002800,354,VERNON ST,10/7/10,Y,Level 2 - Missing slope,37.81558248707165,-122.25502308156946
016 142404200,540,ALCATRAZ AVE,10/25/10,Y,Level 1 - missing data ,37.85068959466009,-122.26185980723055
036 242100500,4633,FAIRFAX AVE,9/3/10,Y,Done - Level 1,37.779551846846516,-122.20484998004099
009 068801000,450,28TH ST,9/22/10,Y,Done - Level 1,37.81701063949928,-122.26682387959495
011 083901600,824,ERIE ST,10/22/10,Y,Done - Level 1,37.812470087889935,-122.24254483146125
008 063101201,1448,MADISON ST,,Y,Incomplete Evaluation,37.80212189501369,-122.26325732142237
012 092700800,300,MONTE VISTA AVE,9/2/10,Y,Exempt - engineer's letter,37.82292784760426,-122.24982957264763
,3877,HOWE ST,,Y,Done - Level 2 Required  ,,
008 062701001,1525,JACKSON ST,10/8/10,Y,Exempt - engineer's letter,37.803983440683034,-122.2645258215469
012 098801301,791,KINGSTON AVE,10/20/10,Y,Exempt - engineer's letter,37.824722395757256,-122.24867666709308
010 078302000,370,STATEN AVE,11/9/10,Y,Done - Level 1,37.81148498675336,-122.25366308403362
021 028300601,2125,10TH AVE,9/23/10,Y,Done - Level 1,37.79733622241617,-122.24279061799449
020 018000900,224,E 15TH ST,,Y,Done - Level 1,37.79833010562197,-122.254714611303
013 110802300,4350,BROADWAY,,,Done - Level 1,37.83199576995574,-122.25354244506032
029 099402700,3700,LINCOLN AVE,9/28/10,Y,Level 1 - missing data ,37.801644139981306,-122.21174819062679
,1450,13TH AVE,,,Done - Level 2 Required  ,,
021 022600100,282,WAYNE AVE,10/25/10,Y,Done - Level 1,37.8024499281638,-122.25298980542806
021 022802600,252,ACTON PL,10/8/10,Y,Done - Level 1 ,37.80143792907704,-122.25133044823264
005 040902000,1829,MYRTLE ST,,Y,Exempt - no parking/commercial,37.811943023185385,-122.28104440748646
010 079505001,226,ORANGE ST,9/2/10,Y,Done - Level 1,37.81526664819978,-122.25723702992815
011 084403400,3650,GRAND AVE,8/24/10,Y,Incomplete Evaluation,37.81598689384703,-122.24519921126486
010 081800201,515,VERNON ST,9/7/10,Y,Done - Level 2 in process,37.81806179444709,-122.25094599112116
022 038001400,3201,BEAUMONT AVE,,Y,Incomplete Evaluation,37.79987778738235,-122.22947365662046
020 018000500,1545,3RD AVE,9/7/10,Y,Exempt - no large openings,37.79849817447797,-122.25398012624933
021 023802100,1202,E 18TH ST,8/25/10,Y,Level 1 - missing data ,37.793302777858365,-122.24401250223629
023 041003700,635,HILLSBOROUGH ST,,Y,Incomplete Evaluation,37.804816112560594,-122.24783757691758
010 077403203,280,LEE ST,8/24/10,Y,Done - Level 1,37.81249064083792,-122.25652862301513
010 081200300,535,OAKLAND AVE,8/31/10,Y,Incomplete Evaluation - Unclaimed,37.81991586112064,-122.25285090920765
,1001,WARFIELD AVE,,,Done - Level 1,,
011 084001000,825,ERIE ST,11/16/10,Y,Done - Level 2 Required  ,37.812758598140874,-122.24296237816426
012 099601700,4015,HOWE ST,10/5/10,Y,Exempt - engineer's letter,37.8267709629239,-122.25404800413622
,2515,10TH AVE,11/4/10,Y,Done - Level 1,,
022 030500700,2227,7TH AVE,9/13/10,Y,Done - Level 1,37.80011504529017,-122.24452527374203
010 077900200,469,VAN BUREN AVE,9/22/10,Y,Done - Level 1,37.81056660984562,-122.25172072088542
023 041200702,2140,LAKESHORE AVE,10/7/10,Y,Done - Level 2 Required  ,37.80482976230209,-122.25033166548303
026 076600302,2361,FRUITVALE AVE,9/27/10,Y,Level 1 - missing data ,37.78669553181172,-122.2219119600104
011 084002100,864,YORK ST,8/30/10,Y,Done - Level 1,37.813456628615384,-122.24265490845559
008 062703500,1560,ALICE ST,9/2/10,Y,Exempt - no large openings,37.80455109991585,-122.26470382911124
010 078501502,345,MACARTHUR BLVD,9/13/10,Y,Incomplete Evaluation,37.81321905811092,-122.25153135357536
023 041200303,485,WESLEY AVE,9/27/10,Y,Done - Level 1,37.804698761252254,-122.2500108262513
021 022000100,607,E 18TH ST,,Y,Incomplete Evaluation,37.7973399190708,-122.24920067964351
021 027201700,2030,7TH AVE,10/13/10,Y,Done - Level 1,37.79844291008556,-122.24591696695806
032 206800104,3502,BROOKDALE AVE,11/16/10,Y,Done - Level 1,37.78789584463597,-122.21006623165302
004 003701800,1212,12TH ST,,Y,Incomplete Evaluation,37.80871492525632,-122.28810576720761
040A341601801,7033,LACEY AVE,8/25/10,Y,Exempt - less than 5 units,37.770640593720145,-122.17284603844274
020 012500800,1231,5TH AVE,,Y,Incomplete Evaluation,37.79566159219264,-122.25450242609912
010 078603400,356,WARWICK AVE,10/14/10,Y,Incomplete Evaluation - Unclaimed,37.81342040259277,-122.25331130569498
046 547802104,9874,BANCROFT AVE,9/24/10,Y,Done - Level 1,37.746943796943356,-122.16013054583736
021 022500202,237,WAYNE AVE,8/30/10,Y,Exempt - engineer's letter,37.80163738705197,-122.25317310801782
048F735400201,6511,LUCAS AVE,,Y,Done - Level 2 Required  ,37.82661068789158,-122.20871740699201
025 073402800,2515,FOOTHILL BLVD,10/19/10,Y,Exempt - no large openings,37.784426963958204,-122.2304509826457
040A345705500,4345,RILEA WAY,11/9/10,Y,Done - Level 1,37.77207435753751,-122.15096376255116
008 062600800,1553,ALICE ST,10/4/10,Y,Done - Level 1 ,37.80484162686844,-122.26535737568427
008 062901001,1551,MADISON ST,8/24/10,Y,Done - Level 1,37.80308222119098,-122.26353227409325
027 086100500,3035,SCHOOL ST,9/21/10,Y,Incomplete Evaluation - Unclaimed,37.794109119853125,-122.21192443739365
027 085303500,3002,BONA ST,,Y,Done - Level 1,37.792337015895896,-122.21777286169086
012 092700400,344,MONTE VISTA AVE,,Y,Incomplete Evaluation,37.82248093313761,-122.2491948433142
013 111902400,118,ECHO AVE,8/25/10,Y,Ask for exemption - did not review ,37.82718342399716,-122.24720382750196
022 033801804,2282,PARK BLVD,9/21/10,Y,Done - Level 2 Required  ,37.8014050469848,-122.24525441548225
023 048101900,3429,13TH AVE,8/27/10,Y,Incomplete Evaluation,37.80222901372131,-122.23203593376925
015 136402500,795,ALCATRAZ AVE,11/16/10,Y,Exempt - less than 5 units,37.84891659113677,-122.26833518515271
012 100000100,4040,MANILA AVE,8/30/10,Y,Incomplete Evaluation,37.82854729748569,-122.25749586646675
012 099603100,4020,BROADWAY,9/16/10,Y,Incomplete Evaluation,37.827832385445944,-122.25611623897717
020 018600104,1640,5TH AVE,9/28/10,Y,Done - Level 1,37.79741287170726,-122.2510850843082
022 033800800,2407,IVY DR,9/14/10,Y,Incomplete Evaluation - Unclaimed,37.801392838359206,-122.24340154586773
010 078301500,406,VAN BUREN AVE,10/22/10,Y,Done - Level 1,37.81070981941344,-122.25330140423624
010 080300104,245,FAIRMOUNT AVE,10/13/10,Y,Done - Level 2 Required  ,37.81794990816338,-122.26004543071768
010 080702200,3317,KEMPTON AVE,8/30/11,Y,Level 1 - missing data ,37.820195308618956,-122.25738418233202
026 075501300,2224,24TH AVE,10/28/10,Y,Done - Level 2 Required  ,37.78849512916611,-122.2282312173932
030 192000300,3743,39TH AVE,8/25/10,Y,Done - Level 1,37.79119438640407,-122.19559266212543
024 053500900,4135,PARK BLVD,,Y,Incomplete Evaluation,37.80695437853718,-122.22402717740027
010 079501500,77,VERNON ST,9/3/10,Y,Done - Level 1,37.81313685437349,-122.2596159407053
012 098801602,777,KINGSTON AVE,8/31/10,Y,Done - Level 1,37.82424389264915,-122.24917784163357
010 077800700,429,BELLEVUE AVE,9/1/10,Y,Done - Level 1,37.80954325451978,-122.25296121908923
021 022901901,240,ATHOL AVE,11/16/10,Y,Incomplete Evaluation,37.800583487168936,-122.25005071901755
033 211700900,1833,33RD AVE,11/22/10,Y,Incomplete Evaluation,37.782492426640474,-122.22250965083548
021 022402100,118,ATHOL AVE,8/24/10,Y,Done - Level 1,37.800680941431,-122.25331957383689
020 012400700,1231,6TH AVE,,Y,Incomplete Evaluation,37.794861501113544,-122.25369963856281
022 033802700,2400,PARK BLVD,,Y,Done - Level 2 Required  ,37.80162159217931,-122.24367128502949
020 013201700,1432,3RD AVE - Bldg #1438,9/22/10,Y,Level 2 - Missing slope,37.79741131917018,-122.25470258512391
025 073101200,1609,28TH AVE,9/14/10,Y,Incomplete Evaluation - Unclaimed,37.78185547702745,-122.22842218020986
048A703500100,5390,BROADWAY,10/25/10,Y,Done - Level 2 Required  ,37.83891367282552,-122.24920649110827
023 041802101,688,BEACON ST,9/22/10,Y,Exempt - engineer's letter,37.80871808372503,-122.24537818674285
014 124200506,225,CLIFTON ST,9/21/10,Y,Incomplete Evaluation - Unclaimed,37.83573339498681,-122.24961140254734
010 077606700,435,STATEN AVE,9/24/10,Y,Incomplete Evaluation - Unclaimed,37.80943095526388,-122.2542531673674
022 030800400,451,WAYNE AVE,9/15/10,Y,Done - Level 1,37.80377735000634,-122.25145735547366
010 080201401,200,FAIRMOUNT AVE,10/6/10,Y,Incomplete Evaluation - Unclaimed,37.817356972314855,-122.25974537031472
040A341103700,7708,NEY AVE,,Y,,37.767916985237,-122.16740164269092
010 078504500,302,EUCLID AVE,9/2/10,Y,Incomplete Evaluation - Unclaimed,37.81404917154587,-122.25249617168996
020 018500300,427,E 17TH ST,11/3/10,Y,Level 2 - Missing slope,37.797845424632534,-122.2516918923252
026 076600501,3114,ASHBROOK CT,8/30/10,Y,Done - Level 1,37.78655020692014,-122.221969878081
023 040400900,1143,MCKINLEY AVE,10/26/10,Y,Incomplete Evaluation,37.80319815438019,-122.23910637764402
010 079300600,381,OAKLAND AVE,,Y,Incomplete Evaluation,37.8174522950519,-122.25615608274235
012 093005700,651,OAKLAND AVE,9/18/10,Y,Incomplete Evaluation - Unclaimed,37.821077657945665,-122.25011276280875
022 031000400,615,BROOKLYN AVE,,Y,Incomplete Evaluation,37.804287581303605,-122.24853801929166
020 018000600,1533,3RD AVE,,Y,Exempt - city inspection,37.79846289670736,-122.25428626640361
011 085601001,1041,WARFIELD AVE,,Y,Incomplete Evaluation,37.81712973184545,-122.24079999431653
013 110800400,25,WHITMORE PL,9/22/10,Y,Incomplete Evaluation,37.8326134216947,-122.25218902136646
010 082101300,271,SANTA CLARA AVE,11/9/10,Y,Done - Level 2 Required  ,37.81658951511755,-122.25006202795747
027 086300200,3211,SCHOOL ST,,Y,Incomplete Evaluation,37.793317434877565,-122.21005652150471
005 047302200,3201,ADELINE ST,,Y,Incomplete Evaluation,37.82396644942922,-122.28124188060569
022 030901300,331,HANOVER AVE,9/2/10,Y,Exempt - no large openings,37.80309671915895,-122.2509364273622
010 078400800,373,EUCLID AVE,8/24/10,Y,Done - Level 1,37.81209208114749,-122.25233634397664
008 062601500,1449,ALICE ST,11/15/10,Y,Exempt - no large openings,37.8034063717679,-122.26626722776727
010 077700400,417,STATEN AVE,10/26/10,Y,Incomplete Evaluation,37.810014694036816,-122.253961135572
033 212902002,1664,35TH AVE,10/28/10,Y,Done - Level 1 ,37.78006769965864,-122.22004671806404
016 139002101,6116,TELEGRAPH AVE,9/21/10,Y,Done - Level 1,37.847682082128266,-122.26046754474356
043A464200312,2700,ALVINGROOM CT,9/22/10,Y,Incomplete Evaluation,37.761065944954574,-122.16172197962238
022 030700100,350,NEWTON AVE,,Y,Done - Level 1,37.80287077499987,-122.24860090860143
023 041002300,624,BROOKLYN AVE,10/22/10,Y,Incomplete Evaluation - Unclaimed,37.804488034467894,-122.2476189482124
010 079002601,350,VERNON ST,9/27/10,Y,Done - Level 2 Required  ,37.81542735695871,-122.25529611776105
010 077301103,317,LEE ST,8/24/10,Y,Done - Level 1,37.811152453465795,-122.2565660826625
044 497602101,9940,D ST,,Y,Incomplete Evaluation - Unclaimed,37.74065198120654,-122.17435940544613
032 207400500,4065,LYON AVE,8/26/10,Y,Done - Level 1,37.78203593791349,-122.20689939680761
022 030200600,2201,11TH AVE,11/22/10,Y,Done - Level 1,37.7968642047314,-122.24141144007552
048A711002702,5916,OCEAN VIEW DR,,Y,Incomplete Evaluation,37.84592069685166,-122.24490193406415
030 191201100,3621,PATTERSON AVE,,Y,Done - Level 1,37.79157197805273,-122.19797231921018
025 072602000,2932,E 19TH ST,,Y,Incomplete Evaluation,37.78351152046496,-122.2244226369157
,5964,RACINE ST South bldg ,,,Level 1 - missing data ,,
014 122400600,474,55TH ST,9/7/10,Y,Exempt - less than 5 units,37.840310253961015,-122.26081572970351
023 041901000,535,MERRITT AVE,8/25/10,Y,Level 1 - missing data,37.80756102037445,-122.24753854099623
028 091001000,3441,LAGUNA AVE,,Y,Incomplete Evaluation - Unclaimed,37.798200442388044,-122.21136964572975
029A130203300,3566,DIMOND AVE,11/1/10,Y,Incomplete Evaluation,37.80181468748924,-122.21644096623
048F735502000,6558,LUCAS AVE,7/1/11,Y,Done - Level 2 Required  ,37.82622533790622,-122.20768561873572
016 143200500,722,ALCATRAZ AVE,,Y,Incomplete Evaluation,37.84967445989407,-122.2663411949174
023 041900800,541,MERRITT AVE,,Y,Incomplete Evaluation,37.80770412180401,-122.24727835970485
016 142701600,650,ALCATRAZ AVE,8/30/10,Y,Done - Level 1,37.8499757614283,-122.26406739670928
022 031302000,338,PORTLAND AVE,9/2/10,Y,Done - Level 1,37.80238790171031,-122.2461289663788
,837,E 15TH ST - rear house ,,,Done - Level 1,,
010 082609700,386,SANTA CLARA AVE,10/22/10,Y,Incomplete Evaluation - Unclaimed,37.81309124123239,-122.24802789708413
025 073301200,1783,28TH AVE,9/16/10,Y,Done - Level 1,37.783601027078845,-122.2268343443455
029 099200302,2461,DAMUTH ST,10/22/10,Y,Incomplete Evaluation - Unclaimed,37.800680061700746,-122.2111747103923
027 084300300,3231,PRENTISS ST,,Y,Incomplete Evaluation,37.78855523489962,-122.21970097707155
021 022200302,425,E 18TH ST,8/25/10,Y,Done - Level 2 Required  ,37.798493032562426,-122.25080394605153
025 071202900,1516,27TH AVE,10/8/10,Y,Incomplete Evaluation - Unclaimed,37.78165070380576,-122.23012440716656
028 093902205,3042,MACARTHUR BLVD,11/19/10,Y,Exempt - less than 5 units,37.79708543745353,-122.20386198098464
005 038401600,1608,MYRTLE ST,9/2/10,Y,Incomplete Evaluation - Unclaimed,37.810285184919245,-122.28111601410238
022 030903300,485,STOW AVE,,Y,Incomplete Evaluation,37.80400798399632,-122.2497371744402
020 013600100,705,E 15TH ST,9/14/10,Y,Level 1 - missing data,37.79464737070145,-122.25124549160051
022 033803101,2424,PARK BLVD,10/7/10,Y,Level 1 - missing data ,37.80178980242101,-122.24306408388772
010 078600600,389,PALM AVE,9/21/10,Y,Done - Level 2 Required ,37.8130797352635,-122.25312688508956
010 080100300,2821,HARRISON ST,9/15/10,Y,Exempt - no large openings,37.815913326501665,-122.25904513353433
011 083900600,3549,LAKESHORE AVE,10/7/10,Y,Exempt - no large openings,37.81260014182797,-122.24194245135384
010 077402000,375,PERKINS ST,9/15/10,Y,Done - Level 1,37.811023130901155,-122.25553010261709
030 192900502,3701,MAYBELLE AVE,,Y,Incomplete Evaluation,37.789963290809176,-122.19445576703336
032 204702600,2122,HIGH ST,11/1/10,Y,Done - Level 1,37.77717397125755,-122.20881157257737
022 030802900,291,HANOVER AVE,,Y,Incomplete Evaluation,37.80293587564763,-122.25215097039177
040 336701500,8130,BIRCH ST,10/20/10,Y,Done - Level 1,37.75861840982753,-122.17399767697039
020 019801301,1946,FOOTHILL BLVD,8/31/10,Y,Done - Level 2 Required  ,37.78786656697805,-122.2383838515043
037A273400104,3240,61ST AVE,8/30/10,Y,Done - Level 1,37.77531747811721,-122.18229426220428
022 031301100,421,VAN DYKE AVE,9/14/10,Y,Done - Level 1,37.80214948060917,-122.24549723007367
020 013600200,727,E 15TH ST,9/15/10,Y,Level 1 - missing data,37.794397390053696,-122.25113031038515
035 240501900,1942,47TH AVE,9/14/10,Y,Incomplete Evaluation - Unclaimed,37.7737959324873,-122.20785652318197
021 028002200,505,E 22ND ST,11/10/10,Y,Exempt - less than 5 units,37.80073349169969,-122.24648367610855
023 041003202,600,BROOKLYN AVE,9/14/10,Y,Incomplete Evaluation,37.80486394746626,-122.24883540408327
048F735101701,6582,LUCAS AVE,8/25/10,Y,Incomplete Evaluation,37.825432854202624,-122.20749473279821
010 078602700,324,WARWICK AVE,9/20/10,Y,Incomplete Evaluation,37.8129202878271,-122.25415498318796
022 036903500,2000,E 30TH ST,10/8/10,Y,Incomplete Evaluation - Unclaimed,37.797671725910405,-122.227991010238
010 080703900,3408,RICHMOND BLVD,9/28/10,Y,Incomplete Evaluation,37.820387354663076,-122.25787808310301
010 078500400,255,MACARTHUR BLVD,11/9/10,Y,Done - Level 2 Required  ,37.81555901284199,-122.25253489155267
028 091002500,3440,WILSON AVE,9/14/10,Y,Done - Level 1,37.79825760274602,-122.21179420977099
023 041802600,655,WESLEY AVE,,Y,Incomplete Evaluation,37.80808088895301,-122.24572524424303
021 022801100,263,ATHOL AVE,10/22/10,Y,Done - Level 1,37.801371314660166,-122.24970985104177
022 033602000,2430,8TH AVE,9/20/10,Y,Done - Level 1,37.80032663535456,-122.24113667128911
011 083704400,750,WARFIELD AVE,9/16/10,Y,Incomplete Evaluation,37.81255640888759,-122.24490966246681
023 047800404,3755,EMERSON WAY,9/15/10,Y,Done - Level 1,37.804763233347394,-122.23024378006373
010 080601902,110,FRISBIE ST,9/3/10,Y,Incomplete Evaluation,37.81889068759038,-122.25925540859775
010 078402701,366,BELLEVUE AVE,11/9/10,Y,Level 2 - Missing slope,37.812172699188416,-122.25283063264443
013 111101600,4231,MONTGOMERY ST,7/5/11,Y,Done - Level 1,37.82993004389749,-122.25190644452621
,207,41ST ST,,Y,Incomplete Evaluation,,
022 030801200,411,WAYNE AVE,11/9/10,Y,Exempt - no large openings,37.80372565429414,-122.25254430575377
029A130100700,3621,DIMOND AVE,10/25/10,Y,Level 1 - missing data ,37.802654705772255,-122.21691508989473
021 027200500,2039,8TH AVE,,Y,Incomplete Evaluation,37.79812661459588,-122.24532730795097
023 047801301,3738,PARK BOULEVARD WAY,9/1/10,Y,Done - Level 2 Required  ,37.804906227155655,-122.2307864971905
022 033201200,2426,12TH AVE,9/22/10,Y,Done - Level 1,37.79735505545887,-122.23799934731258
022 030903200,491,STOW AVE,9/15/10,Y,Done - Level 2 Required  ,37.804047077622116,-122.24958579478381
021 023100700,1829,6TH AVE,10/26/10,Y,Done - Level 1,37.798237098655655,-122.24902140453248
029A130503300,3704,FRUITVALE AVE,9/15/10,Y,Level 2 - Missing slope,37.80286483040169,-122.21479218794566
043A467603102,9700,MOUNTAIN BLVD,9/1/10,Y,Level 2 - Missing slope,37.75479162642715,-122.14922326208487
010 079102600,400,ORANGE ST,8/30/10,Y,Done - Level 2 Required,37.816823586153824,-122.25460827541207
010 081400400,3823,HARRISON ST,10/7/10,Y,Done - Level 1,37.82159052540264,-122.25140552051404
010 083101300,230,SANTA ROSA AVE,8/24/10,Y,Incomplete Evaluation,37.81856248710296,-122.24879615242469
015 130601900,1089,57TH ST,,Y,Incomplete Evaluation,37.84023296639332,-122.28214382327694
011 083803600,746,RAND AVE,,Y,Done - Level 2 Required,37.81127625769588,-122.24439221697135
028 091500101,2701,MACARTHUR BLVD,,Y,Incomplete Evaluation,37.79850390092547,-122.2098305847367
010 081403400,626,EL DORADO AVE,8/24/10,Y,Exempt - engineer's letter,37.821839985900844,-122.25179114267827
021 023300101,721,E 19TH ST,9/18/10,Y,Done - Level 1,37.797090709055915,-122.24740262082865
019 002801704,250,E 11TH ST,,Y,Incomplete Evaluation,37.796418001414104,-122.25733025941678
021 022500404,221,WAYNE AVE,6/29/11,Y,Done - Level 1,37.80140487784757,-122.25294013113626
046 549000700,9825,MACARTHUR BLVD,11/22/10,Y,Done - Level 2 Required  ,37.7490754146235,-122.15869428565608
010 078900300,263,EUCLID AVE,9/1/10,Y,Incomplete Evaluation - Unclaimed,37.815112394651756,-122.25370074192428
