NUMBER,STREET,NOTIFY_DATE,NOTIFY,STATUS
635,E 15TH ST,,Y,Incomplete Evaluation - Unclaimed
705,E 15TH ST,9/14/10,Y,Level 1 - missing data
727,E 15TH ST,9/15/10,Y,Level 1 - missing data
735,E 15TH ST,9/2/10,Y,Level 1 - missing data 
2117,E 15TH ST,9/20/10,Y,Incomplete Evaluation - no data
2210,E 15TH ST,9/14/10,Y,Level 1 - missing data 
2268,E 15TH ST,11/15/10,Y,Done - Level 1
2274,E 15TH ST,9/7/10,Y,Done - Level 1
3007,E 15TH ST,10/5/10,Y,Done - Level 1
3080,E 15TH ST,,Y,Done - Level 1
837,E 15TH ST - front house,10/4/10,Y,Done - Level 1
137,E 16TH ST,,Y,Exempt - no large openings
2633,E 16TH ST,9/14/10,Y,Level 1 - missing data 
2930,E 16TH ST,,Y,Incomplete Evaluation - Unclaimed
323,E 17TH ST,9/14/10,Y,Incomplete Evaluation - Unclaimed
411,E 17TH ST,10/20/10,Y,Exempt - retrofitted
427,E 17TH ST,11/3/10,Y,Level 2 - Missing slope
524,E 17TH ST,9/7/10,Y,Done - Level 1
537,E 17TH ST,9/15/10,Y,Incomplete Evaluation
605,E 17TH ST,,Y,Incomplete Evaluation
647,E 17TH ST,9/18/10,Y,Level 1 - missing data  
650,E 17TH ST,,Y,Incomplete Evaluation
730,E 17TH ST,8/27/10,Y,Incomplete Evaluation
901,E 17TH ST,,Y,Incomplete Evaluation
926,E 17TH ST,9/15/10,Y,Done - Level 1
1021,E 17TH ST,,Y,Incomplete Evaluation
2121,E 17TH ST,10/29/10,Y,Done - Level 1
2344,E 17TH ST,,Y,Incomplete Evaluation - Unclaimed
2727,E 17TH ST,10/8/10,Y,Incomplete Evaluation
425,E 18TH ST,8/25/10,Y,Done - Level 2 Required  
607,E 18TH ST,,Y,Incomplete Evaluation
741,E 18TH ST,,Y,Incomplete Evaluation
1125,E 18TH ST,9/13/10,Y,Exempt - retrofitted
1202,E 18TH ST,8/25/10,Y,Level 1 - missing data 
4069,E 18TH ST,11/16/10,Y,Exempt - less than 5 units
415,E 19TH ST,8/26/10,Y,Incomplete Evaluation - Unclaimed
428,E 19TH ST,10/4/10,Y,Done - Level 1 
610,E 19TH ST,,Y,Done - Level 1
721,E 19TH ST,9/18/10,Y,Done - Level 1
2932,E 19TH ST,,Y,Incomplete Evaluation
3014,E 19TH ST,9/22/10,Y,Incomplete Evaluation
611,E 20TH ST,9/21/10,Y,Incomplete Evaluation - Unclaimed
732,E 20TH ST,,Y,Incomplete Evaluation
800,E 20TH ST,10/14/10,Y,Incomplete Evaluation
920,E 20TH ST,,Y,Incomplete Evaluation
924,E 20TH ST,,Y,Incomplete Evaluation - Unclaimed
1124,E 20TH ST,,Y,Incomplete Evaluation
505,E 22ND ST,11/10/10,Y,Exempt - less than 5 units
512,E 22ND ST,10/25/10,Y,Level 2 - Missing slope
518,E 22ND ST,9/22/10,Y,Done - Level 1
1017,E 22ND ST,9/20/10,Y,Done - Level 1
1025,E 22ND ST,10/6/10,Y,Done - Level 1
1140,E 22ND ST,8/30/10,Y,Level 1 - missing data  
1725,E 22ND ST,8/24/10,Y,Done - Level 1
609,E 23RD ST,,Y,Incomplete Evaluation
1008,E 23RD ST,,Y,Incomplete Evaluation
700,E 24TH ST,,Y,Incomplete Evaluation
1836,E 25TH ST,10/7/10,Y,Level 2 - Missing slope
1848,E 25TH ST,10/6/10,Y,Exempt - no large openings
1852,E 25TH ST,9/2/10,Y,Exempt - no large openings
1856,E 25TH ST,10/5/10,Y,Done - Level 1
1860,E 25TH ST,8/31/10,Y,Done - Level 1
1930,E 27TH ST,10/25/10,Y,Exempt - engineer's letter
809,E 28TH ST,9/7/10,Y,Exempt - engineer's letter
858,E 28TH ST,9/2/10,Y,Exempt - retrofitted
878,E 28TH ST,11/3/10,Y,Incomplete Evaluation - Unclaimed
921,E 28TH ST,,Y,Incomplete Evaluation
1330,E 28TH ST,8/30/10,Y,Exempt - less than 5 units
1948,E 29TH ST,6/27/11,Y,Done - Level 2 Required
1907,E 30TH ST,,Y,Done - Level 2 Required  
2000,E 30TH ST,10/8/10,Y,Incomplete Evaluation - Unclaimed
2040,E 30TH ST,9/3/10,Y,Incomplete Evaluation
1000,E 33RD ST,,Y,Incomplete Evaluation
1074,E 33RD ST,10/13/10,Y,Done - Level 1
1082,E 33RD ST,,Y,Incomplete Evaluation
1112,E 33RD ST,9/28/10,Y,Exempt - less than 5 units
1248,E 34TH ST,,Y,Incomplete Evaluation
9332,E ST,10/29/10,Y,Level 1 - missing data 
118,ECHO AVE,8/25/10,Y,Ask for exemption - did not review 
4423,EDGEWOOD AVE,8/25/10,Y,Done - Level 2 Required  
626,EL DORADO AVE,8/24/10,Y,Exempt - engineer's letter
635,EL DORADO AVE,,Y,Incomplete Evaluation
645,EL DORADO AVE,9/20/10,Y,Exempt - engineer's letter
438,ELWOOD AVE,9/7/10,Y,Incomplete Evaluation
3616,EMERSON ST,10/7/10,Y,Incomplete Evaluation
3719,EMERSON ST,10/26/10,Y,Incomplete Evaluation - Unclaimed
3755,EMERSON WAY,9/15/10,Y,Done - Level 1
817,ERIE ST,9/2/10,Y,Done - Level 2 Required  
824,ERIE ST,10/22/10,Y,Done - Level 1
825,ERIE ST,11/16/10,Y,Done - Level 2 Required  
832,ERIE ST,11/3/10,Y,Exempt - engineer's letter
856,ERIE ST,9/14/10,Y,Done - Level 2 Required  
263,EUCLID AVE,9/1/10,Y,Incomplete Evaluation - Unclaimed
270,EUCLID AVE,9/21/10,Y,Exempt - engineer's letter
272,EUCLID AVE,6/29/11,Y,Done - Level 2 Required  
274,EUCLID AVE,9/13/10,Y,Done - Level 1
276,EUCLID AVE,10/26/10,Y,Done - Level 1
287,EUCLID AVE,8/25/10,Y,Done - Level 1
302,EUCLID AVE,9/2/10,Y,Incomplete Evaluation - Unclaimed
305,EUCLID AVE,,Y,Incomplete Evaluation
320,EUCLID AVE,8/24/10,Y,Exempt - engineer's letter
325,EUCLID AVE,9/15/10,Y,Done - Level 1
350,EUCLID AVE,,Y,Incomplete Evaluation
353,EUCLID AVE,9/28/11,Y,Done - Level 1
362,EUCLID AVE,,Y,Incomplete Evaluation
365,EUCLID AVE,10/20/10,Y,Exempt - engineer's letter
366,EUCLID AVE,9/7/10,Y,Exempt - no large openings
372,EUCLID AVE,11/15/10,Y,Exempt - no large openings
373,EUCLID AVE,8/24/10,Y,Done - Level 1
380,EUCLID AVE,11/2/10,Y,Level 2 - Missing slope
398,EUCLID AVE,9/27/10,Y,Done - Level 1 
411,EUCLID AVE,9/28/10,Y,Incomplete Evaluation - Unclaimed
4633,FAIRFAX AVE,9/3/10,Y,Done - Level 1
78,FAIRMOUNT AVE,,Y,Incomplete Evaluation - Unclaimed
101,FAIRMOUNT AVE,10/5/10,Y,Exempt - retrofitted
200,FAIRMOUNT AVE,10/6/10,Y,Incomplete Evaluation - Unclaimed
245,FAIRMOUNT AVE,10/13/10,Y,Done - Level 2 Required  
275,FAIRMOUNT AVE,9/16/10,Y,Exempt - no parking/commercial
285,FAIRMOUNT AVE,8/24/10,Y,Incomplete Evaluation
291,FAIRMOUNT AVE,6/29/11,Y,Done - Level 1
385,FAIRMOUNT AVE,10/19/10,Y,Done - Level 1
391,FAIRMOUNT AVE,8/25/10,Y,Done - Level 2 Required
401,FAIRMOUNT AVE,8/24/10,Y,Exempt - retrofitted
407,FAIRMOUNT AVE,8/24/11,Y,Done - Level 1
411,FAIRMOUNT AVE,,Y,Done - Level 2 Required  
550,FAIRMOUNT AVE,9/2/10,Y,Incomplete Evaluation
3314,FARNAM ST,9/21/10,Y,Incomplete Evaluation - Unclaimed
1430,FILBERT ST,,Y,Incomplete Evaluation
1729,FILBERT ST,,Y,Incomplete Evaluation
1809,FILBERT ST,8/25/10,Y,Done - Level 1
232,FOOTHILL BLVD,10/26/10,Y,Ask for exemption - did not review 
239,FOOTHILL BLVD,9/22/10,Y,Done - Level 1
309,FOOTHILL BLVD,,Y,Exempt - no parking/commercial
336,FOOTHILL BLVD,9/24/10,Y,Exempt - less than 5 units
418,FOOTHILL BLVD,10/6/10,Y,Exempt - engineer's letter
427,FOOTHILL BLVD,9/27/10,Y,Done - Level 1
512,FOOTHILL BLVD,,Y,Incomplete Evaluation
803,FOOTHILL BLVD,10/18/10,Y,Incomplete Evaluation - Unclaimed
818,FOOTHILL BLVD,,Y,Exempt - less than 5 units
828,FOOTHILL BLVD,,Y,Incomplete Evaluation
1220,FOOTHILL BLVD,9/3/10,Y,Level 1 - missing data 
1905,FOOTHILL BLVD,9/14/10,Y,Done - Level 1 
1946,FOOTHILL BLVD,8/31/10,Y,Done - Level 2 Required  
2515,FOOTHILL BLVD,10/19/10,Y,Exempt - no large openings
2833,FOOTHILL BLVD,9/3/10,Y,Done - Level 1
3739,FOOTHILL BLVD,,Y,Incomplete Evaluation
3810,FOOTHILL BLVD,8/30/10,Y,Done - Level 1
5760,FOOTHILL BLVD,9/2/10,Y,
6311,FOOTHILL BLVD,9/21/10,Y,Done - Level 1
6500,FOOTHILL BLVD,10/7/10,Y,Incomplete Evaluation - Unclaimed
6506,FOOTHILL BLVD,8/24/10,Y,Incomplete Evaluation - Unclaimed
6663,FOOTHILL BLVD,,Y,Level 1 - missing data 
6868,FOOTHILL BLVD,10/4/10,Y,Incomplete Evaluation
6909,FRESNO ST,11/16/10,Y,Incomplete Evaluation
110,FRISBIE ST,9/3/10,Y,Incomplete Evaluation
1479,FRUITVALE AVE,,Y,Incomplete Evaluation
1536,FRUITVALE AVE,9/3/10,Y,Incomplete Evaluation - no data
1621,FRUITVALE AVE,9/2/10,Y,Exempt - engineer's letter
1651,FRUITVALE AVE,,Y,Done - Level 1
1661,FRUITVALE AVE,10/13/10,Y,Done - Level 1
1808,FRUITVALE AVE,,Y,Done - Level 1
1825,FRUITVALE AVE,8/30/10,Y,Done - Level 1
2317,FRUITVALE AVE,11/9/10,Y,Incomplete Evaluation
2336,FRUITVALE AVE,11/9/10,Y,Done - Level 1
2361,FRUITVALE AVE,9/27/10,Y,Level 1 - missing data 
2434,FRUITVALE AVE,9/13/10,Y,Incomplete Evaluation
2500,FRUITVALE AVE,9/21/10,Y,Done - Level 1
2558,FRUITVALE AVE,9/22/10,Y,Done - Level 1
2564,FRUITVALE AVE,8/25/10,Y,Incomplete Evaluation - Unclaimed
2578,FRUITVALE AVE,8/27/10,Y,Done - Level 1
2604,FRUITVALE AVE,9/2/10,Y,Exempt - engineer's letter
2834,FRUITVALE AVE,8/30/10,Y,Exempt - retrofitted
2856,FRUITVALE AVE,8/24/10,Y,Level 1 - missing data 
3000,FRUITVALE AVE,10/7/10,Y,Done - Level 1
3014,FRUITVALE AVE,10/8/10,Y,Incomplete Evaluation
3704,FRUITVALE AVE,9/15/10,Y,Level 2 - Missing slope
3711,FRUITVALE AVE,9/15/10,Y,Done - Level 1
3720,FRUITVALE AVE,11/1/10,Y,Done - Level 1
3723,FRUITVALE AVE,,Y,Incomplete Evaluation
7709,GARFIELD AVE,9/2/10,Y,Exempt - less than 5 units
82,GARLAND AVE,,Y,Incomplete Evaluation
5918,GENOA ST,11/22/10,Y,Level 1 - missing data 
4421,GILBERT ST,,Y,Exempt - retrofitted
54,GLEN AVE,9/21/10,Y,Incomplete Evaluation
67,GLEN AVE,,Y,Incomplete Evaluation - Unclaimed
69,GLEN AVE,11/2/10,Y,Done - Level 1
81,GLEN AVE,11/9/10,Y,Done - Level 1
525,GLENVIEW AVE,,Y,Incomplete Evaluation
538,GLENVIEW AVE,9/3/10,Y,Done - Level 2 Required  
146,GRAND AVE,10/26/10,Y,Exempt - no large openings
240,GRAND AVE,10/20/10,Y,Done - Level 1
246,GRAND AVE,8/24/10,Y,Level 2 - Missing slope
378,GRAND AVE,8/25/10,Y,Done - Level 1 
570,GRAND AVE,9/22/10,Y,Done - Level 2 Required
3650,GRAND AVE,8/24/10,Y,Incomplete Evaluation
3733,GRAND AVE,9/15/10,Y,Done - Level 1
2673,GRANDE VISTA AVE,10/6/10,Y,Level 1 - missing data 
3573,GRAY ST,11/15/10,Y,Level 1 - missing data 
8019,GREENRIDGE DR,8/31/10,Y,Level 1 - missing data 
8025,GREENRIDGE DR,10/25/11,Y,Level 1 - missing data 
8036,GREENRIDGE DR,10/20/10,Y,Incomplete Evaluation
4001,GREENWOOD AVE,10/8/10,Y,Done - Level 1
347,HADDON RD,8/31/10,Y,Exempt - less than 5 units
262,HANOVER AVE,10/7/10,Y,Level 2 - Missing slope
269,HANOVER AVE,10/8/10,Y,Exempt - engineer's letter
285,HANOVER AVE,9/13/10,Y,Done - Level 2 Required  
291,HANOVER AVE,,Y,Incomplete Evaluation
302,HANOVER AVE,11/10/10,Y,Incomplete Evaluation
315,HANOVER AVE,9/14/10,Y,Done - Level 1
317,HANOVER AVE,9/15/10,Y,Ask for exemption - did not review 
322,HANOVER AVE,,Y,Incomplete Evaluation - Unclaimed
323,HANOVER AVE,11/22/10,Y,Incomplete Evaluation
328,HANOVER AVE,11/1/10,Y,Done - Level 1
331,HANOVER AVE,9/2/10,Y,Exempt - no large openings
346,HANOVER AVE,9/18/10,Y,Done - Level 1
350,HANOVER AVE,9/16/10,Y,Done - Level 1
351,HANOVER AVE,11/9/10,Y,Exempt - engineer's letter
364,HANOVER AVE,9/2/10,Y,Exempt - no large openings
365,HANOVER AVE,10/8/10,Y,Done - Level 1
5720,HARMON AVE,9/1/10,Y,Incomplete Evaluation
2050,HARRINGTON AVE,,Y,Done - Level 1
1530,HARRISON ST,10/25/10,Y,Incomplete Evaluation
1622,HARRISON ST,,Y,Exempt - city inspection
2616,HARRISON ST,8/25/10,Y,Done - Level 2 in process
2821,HARRISON ST,9/15/10,Y,Exempt - no large openings
3309,HARRISON ST,9/13/10,Y,Incomplete Evaluation - Unclaimed
3761,HARRISON ST,8/24/10,Y,Done - Level 1
3768,HARRISON ST,,Y,Incomplete Evaluation
3779,HARRISON ST,9/2/10,Y,Done - Level 1
3823,HARRISON ST,10/7/10,Y,Done - Level 1
3830,HARRISON ST,11/1/10,Y,Level 2 - Missing slope
3845,HARRISON ST,,Y,Incomplete Evaluation
3900,HARRISON ST,,Y,Exempt - engineer's letter
3921,HARRISON ST,,Y,Incomplete Evaluation
3933,HARRISON ST,,Y,Incomplete Evaluation
3952,HARRISON ST,,Y,Incomplete Evaluation - Unclaimed
2697,HAVENSCOURT BLVD,10/14/10,Y,Done - Level 1
2738,HAVENSCOURT BLVD,,Y,Done - Level 1
5924,HAYES ST,9/15/10,Y,Done - Level 1
6125,HAYES ST,10/13/10,Y,Level 1 - missing data 
1627,HIGH ST,11/10/10,Y,Done - Level 1 
1718,HIGH ST,,Y,Incomplete Evaluation
2028,HIGH ST,11/15/10,Y,Done - Level 1
2122,HIGH ST,11/1/10,Y,Done - Level 1
2144,HIGH ST,,Y,Incomplete Evaluation - Unclaimed
2212,HIGH ST,,Y,Incomplete Evaluation
2218,HIGH ST,,Y,Incomplete Evaluation
2264,HIGH ST,8/31/10,Y,Incomplete Evaluation
2290,HIGH ST,8/26/10,Y,Done - Level 1
2619,HIGH ST,9/13/10,Y,Incomplete Evaluation
2701,HIGH ST,11/22/10,Y,Done - Level 1
2817,HIGH ST,,Y,Incomplete Evaluation
2906,HIGH ST,11/3/10,Y,Level 2 - Missing slope
3105,HIGH ST,9/2/10,Y,Incomplete Evaluation
3170,HIGH ST,11/15/10,Y,Incomplete Evaluation - Unclaimed
3761,HIGH ST,,Y,Done - Level 2 Required  
3765,HIGH ST,,Y,Done - Level 1
3765,HIGH ST,,Y,Done - Level 1
3771,HIGH ST,,Y,Done - Level 1
3773,HIGH ST,,Y,Done - Level 1
714,HILLGIRT CIR,9/2/10,Y,Incomplete Evaluation - Unclaimed
722,HILLGIRT CIR,9/27/10,Y,Done - Level 2 Required  
769,HILLGIRT CIR,8/27/10,Y,Done - Level 1
635,HILLSBOROUGH ST,,Y,Incomplete Evaluation
669,HILLSBOROUGH ST,,Y,Incomplete Evaluation
9031,HILLSIDE ST,8/26/10,Y,Done - Level 1
5511,HILTON ST,11/15/10,Y,Incomplete Evaluation - Unclaimed
2,HOME PL E,8/27/10,Y,Done - Level 2 Required
33,HOME PL E,11/2/10,Y,Level 1 - missing data
19,HOME PL W,9/3/10,Y,Done - Level 1
3843,HOWE ST,9/1/10,Y,Exempt - retrofitted
3873,HOWE ST,,Y,Incomplete Evaluation
3877,HOWE ST,,Y,Done - Level 2 Required  
4015,HOWE ST,10/5/10,Y,Exempt - engineer's letter
4021,HOWE ST,9/21/10,Y,Incomplete Evaluation - Unclaimed
4138,HOWE ST,10/7/10,Y,Done - Level 1
4231,HOWE ST,11/15/10,Y,Done - Level 1
4328,HOWE ST,,Y,Done - Level 1
2333,HUMBOLDT AVE,,Y,Done - Level 1
2425,HUMBOLDT AVE,8/30/10,Y,Done - Level 1
2429,HUMBOLDT AVE,8/30/10,Y,Done - Level 1
160,INTERNATIONAL BLVD,8/30/11,Y,Exempt - no large openings
544,INTERNATIONAL BLVD,8/25/10,Y,Incomplete Evaluation
739,INTERNATIONAL BLVD,9/14/10,Y,Incomplete Evaluation - Unclaimed
848,INTERNATIONAL BLVD,,Y,Incomplete Evaluation
2338,INTERNATIONAL BLVD,11/9/10,Y,Done - Level 1
6408,IRWIN CT,11/2/10,Y,Done - Level 1
2204,IVY DR,9/14/10,Y,Done - Level 2 Required  
2232,IVY DR,9/1/10,Y,Ask for exemption - did not review 
2247,IVY DR,,Y,Incomplete Evaluation - Unclaimed
2301,IVY DR,10/7/10,Y,Incomplete Evaluation
2303,IVY DR,10/6/10,Y,Incomplete Evaluation
2311,IVY DR,11/3/10,Y,Done - Level 2 Required  
2333,IVY DR,10/7/10,Y,Done - Level 2 Required  
2400,IVY DR,,Y,Done - Level 2 Required  
2401,IVY DR,11/22/10,Y,Done - Level 2 Required  
2407,IVY DR,9/14/10,Y,Incomplete Evaluation - Unclaimed
2417,IVY DR,11/22/10,Y,Done - Level 2 Required  
2425,IVY DR,10/19/10,Y,Done - Level 2 Required  
2439,IVY DR,9/1/10,Y,Done - Level 1
2451,IVY DR,8/30/10,Y,Done - Level 1
2500,IVY DR,11/10/10,Y,Done - Level 2 Required  
2501,IVY DR,9/28/10,Y,Incomplete Evaluation
2515,IVY DR,10/20/10,Y,Level 1 - missing data 
2551,IVY DR,8/25/10,Y,Done - Level 2 Required  
2600,IVY DR,10/7/10,Y,Done - Level 2 Required  
2625,IVY DR,9/1/10,Y,Incomplete Evaluation
2636,IVY DR,8/31/10,Y,Done - Level 1
2641,IVY DR,9/23/10,Y,Done - Level 1
2657,IVY DR,8/31/10,Y,Incomplete Evaluation - Unclaimed
2709,IVY DR,9/2/10,Y,Done - Level 2 Required  
900,JACKSON ST,9/15/10,Y,Exempt - engineer's letter
1420,JACKSON ST,11/3/10,Y,Exempt - no large openings
1434,JACKSON ST,8/24/10,Y,Exempt - no large openings
1505,JACKSON ST,,Y,Exempt - city inspection
1514,JACKSON ST,8/25/10,Y,Exempt - engineer's letter
1520,JACKSON ST,9/20/10,Y,Incomplete Evaluation
1525,JACKSON ST,10/8/10,Y,Exempt - engineer's letter
1560,JACKSON ST,9/22/10,Y,Exempt - engineer's letter
1570,JACKSON ST,11/1/10,Y,Exempt - engineer's letter
1880,JACKSON ST,8/24/10,Y,Incomplete Evaluation
1906,JACKSON ST,9/2/10,Y,Exempt - no large openings
255,JAYNE AVE,11/16/10,Y,Incomplete Evaluation
265,JAYNE AVE,10/29/10,Y,Incomplete Evaluation
271,JAYNE AVE,,Y,Done - Level 1
286,JAYNE AVE,,Y,Incomplete Evaluation
301,JAYNE AVE,10/19/10,Y,Incomplete Evaluation - Unclaimed
350,JAYNE AVE,9/14/10,Y,Exempt - no large openings
362,JAYNE AVE,10/13/10,Y,Level 1 - missing data
472,JEAN ST,8/25/10,Y,Done - Level 1
580,JEAN ST,9/2/10,Y,Done - Level 1
592,JEAN ST,,Y,Incomplete Evaluation
601,JEAN ST,8/24/10,Y,Exempt - engineer's letter
733,JEAN ST,9/24/10,Y,Done - Level 2 Required
3287,KEMPTON AVE,,Y,Exempt - no large openings
3300,KEMPTON AVE,,Y,Level 1 - missing data 
3317,KEMPTON AVE,8/30/11,Y,Level 1 - missing data 
3505,KEMPTON WAY,10/26/10,Y,Exempt - engineer's letter
764,KINGSTON AVE,10/7/10,Y,Done - Level 1
765,KINGSTON AVE,9/28/10,Y,Done - Level 2 Required  
775,KINGSTON AVE,9/14/10,Y,Done - Level 1
777,KINGSTON AVE,8/31/10,Y,Done - Level 1
779,KINGSTON AVE,,Y,Done - Level 1
791,KINGSTON AVE,10/20/10,Y,Exempt - engineer's letter
6918,LACEY AVE,8/31/10,Y,Done - Level 1
7021,LACEY AVE,,Y,Incomplete Evaluation
7033,LACEY AVE,8/25/10,Y,Exempt - less than 5 units
3441,LAGUNA AVE,,Y,Incomplete Evaluation - Unclaimed
3604,LAGUNA AVE,8/27/10,Y,Incomplete Evaluation
415,LAGUNITAS AVE,9/7/10,Y,Done - Level 2 Required  
6650,LAIRD AVE,,Y,Incomplete Evaluation
6656,LAIRD AVE,,Y,Incomplete Evaluation - Unclaimed
1410,LAKESHORE AVE,8/31/10,Y,Exempt - retrofitted
1434,LAKESHORE AVE,9/28/10,Y,Exempt - no large openings
1438,LAKESHORE AVE,9/23/10,Y,Exempt - no large openings
1820,LAKESHORE AVE,10/6/10,Y,Exempt - less than 5 units
1824,LAKESHORE AVE,9/15/10,Y,Done - Level 1
1914,LAKESHORE AVE,10/13/10,Y,Exempt - no large openings
1918,LAKESHORE AVE,9/30/10,Y,Incomplete Evaluation - Unclaimed
1940,LAKESHORE AVE,,Y,Done - Level 2 Required 
2064,LAKESHORE AVE,10/28/10,Y,Exempt - less than 5 units
2122,LAKESHORE AVE,8/25/10,Y,Exempt - engineer's letter
2140,LAKESHORE AVE,10/7/10,Y,Done - Level 2 Required  
2204,LAKESHORE AVE,,Y,Level 1 - missing data 
2208,LAKESHORE AVE,10/26/10,Y,Level 2 - Missing slope
2230,LAKESHORE AVE,9/13/10,Y,Done - Level 2 Required  
2244,LAKESHORE AVE,10/19/10,Y,Done - Level 2 Required  
2300,LAKESHORE AVE,,Y,Incomplete Evaluation - Unclaimed
3501,LAKESHORE AVE,11/1/10,Y,Incomplete Evaluation - Unclaimed
3549,LAKESHORE AVE,10/7/10,Y,Exempt - no large openings
3600,LAKESHORE AVE,9/14/10,Y,Done - Level 1
1525,LAKESIDE DR,11/2/10,Y,Incomplete Evaluation
3550,LAUREL AVE,11/3/10,Y,Done - Level 1
245,LEE ST,10/28/10,Y,Incomplete Evaluation
264,LEE ST,10/26/10,Y,Level 2 - Missing slope
265,LEE ST,9/1/10,Y,Exempt - retrofitted
275,LEE ST,,Y,Incomplete Evaluation
276,LEE ST,,Y,Done - Level 1
279,LEE ST,9/23/10,Y,Level 2 - Missing slope
280,LEE ST,8/24/10,Y,Done - Level 1
290,LEE ST,9/2/10,Y,Ask for exemption - did not review 
303,LEE ST,9/7/10,Y,Level 1 - missing data 
306,LEE ST,10/7/10,Y,Exempt - engineer's letter
307,LEE ST,8/24/10,Y,Level 2 - Missing slope
312,LEE ST,,Y,Incomplete Evaluation
317,LEE ST,8/24/10,Y,Done - Level 1
425,LEE ST,9/14/10,Y,Done - Level 2 in process - requires retrofit
441,LEE ST,,Y,Exempt - engineer's letter
443,LEE ST,10/14/10,Y,Level 2 - Missing slope
444,LEE ST,,Y,Incomplete Evaluation - Unclaimed
451,LEE ST,9/7/10,Y,Exempt - engineer's letter
465,LEE ST,9/1/10,Y,Level 2 - Missing slope
3775,LEIGHTON ST,9/1/10,Y,Incomplete Evaluation - Unclaimed
266,LENOX AVE,9/14/10,Y,Done - Level 1 
280,LENOX AVE,11/15/10,Y,Level 2 - Missing slope
286,LENOX AVE,10/6/10,Y,Done - Level 1
295,LENOX AVE,9/9/10,Y,Incomplete Evaluation - Unclaimed
296,LENOX AVE,8/24/10,Y,Done - Level 1
301,LENOX AVE,11/22/10,Y,Done - Level 2 Required
305,LENOX AVE,11/2/10,Y,Done - Level 1
332,LENOX AVE,,Y,Done - Level 1
338,LENOX AVE,,Y,Done - Level 1
261,LESTER AVE,10/18/10,Y,Exempt - no large openings
267,LESTER AVE,9/21/10,Y,Incomplete Evaluation - Unclaimed
296,LESTER AVE,,Y,Incomplete Evaluation
301,LESTER AVE,10/6/10,Y,Done - Level 2 Required  
329,LESTER AVE,10/7/10,Y,Level 2 - Missing slope
333,LESTER AVE,10/7/10,Y,Level 2 - Missing slope
339,LESTER AVE,11/1/10,Y,Exempt - engineer's letter
351,LESTER AVE,10/28/10,Y,Ask for exemption - did not review
3217,LIESE AVE,9/21/10,Y,Done - Level 1
3700,LINCOLN AVE,9/28/10,Y,Level 1 - missing data 
3715,LINCOLN AVE,10/8/10,Y,Exempt - no large openings
3801,LINCOLN AVE,10/13/10,Y,Done - Level 1
32,LINDA AVE,,Y,Incomplete Evaluation
76,LINDA AVE,,Y,Incomplete Evaluation
86,LINDA AVE,8/30/10,Y,Incomplete Evaluation
95,LINDA AVE,,Y,Incomplete Evaluation
96,LINDA AVE,9/3/10,Y,Exempt - engineer's letter
3060,LOGAN ST,11/15/10,Y,Done - Level 1
6511,LUCAS AVE,,Y,Done - Level 2 Required  
6533,LUCAS AVE,,Y,Incomplete Evaluation
6558,LUCAS AVE,7/1/11,Y,Done - Level 2 Required  
6582,LUCAS AVE,8/25/10,Y,Incomplete Evaluation
3269,LYNDE ST,9/24/10,Y,Done - Level 1
3035,LYNDE ST Bldg A,11/1/10,Y,Done - Level 1
4000,LYON AVE,11/15/10,Y,Done - Level 1
4060,LYON AVE,9/3/10,Y,Level 2 - Missing slope
4065,LYON AVE,8/26/10,Y,Done - Level 1
4100,LYON AVE,11/15/10,Y,Level 1 - missing data 
2910,M L KING JR WAY,8/25/10,Y,Incomplete Evaluation - Unclaimed
5815,M L KING JR WAY,,Y,Incomplete Evaluation
5908,M L KING JR WAY,9/22/10,Y,Done - Level 1
5915,M L KING JR WAY,,Y,Incomplete Evaluation
6015,M L KING JR WAY,,Y,Incomplete Evaluation
229,MACARTHUR BLVD,9/1/10,Y,Incomplete Evaluation
255,MACARTHUR BLVD,11/9/10,Y,Done - Level 2 Required  
259,MACARTHUR BLVD,6/28/11,Y,Done - Level 1
273,MACARTHUR BLVD,8/31/10,Y,Done - Level 1
275,MACARTHUR BLVD,9/13/10,Y,Level 1 - missing data 
281,MACARTHUR BLVD,10/14/10,Y,Done - Level 2 Required  
345,MACARTHUR BLVD,9/13/10,Y,Incomplete Evaluation
411,MACARTHUR BLVD,,Y,Incomplete Evaluation - Unclaimed
635,MACARTHUR BLVD,10/13/10,Y,Done - Level 1
687,MACARTHUR BLVD,10/20/10,Y,Exempt - no large openings
693,MACARTHUR BLVD,9/1/10,Y,Done - Level 2 Required  
750,MACARTHUR BLVD,,Y,Incomplete Evaluation
765,MACARTHUR BLVD,,Y,Incomplete Evaluation
817,MACARTHUR BLVD,9/22/10,Y,Incomplete Evaluation
845,MACARTHUR BLVD,,Y,Incomplete Evaluation
1285,MACARTHUR BLVD,10/7/10,Y,Level 1 - missing data 
1843,MACARTHUR BLVD,10/5/10,Y,Exempt - retrofitted
2240,MACARTHUR BLVD,,Y,Incomplete Evaluation
2425,MACARTHUR BLVD,6/23/11,Y,Done - Level 2 Required  
2701,MACARTHUR BLVD,,Y,Incomplete Evaluation
2867,MACARTHUR BLVD,9/29/10,Y,Done - Level 1
2930,MACARTHUR BLVD,,Y,Incomplete Evaluation
3042,MACARTHUR BLVD,11/19/10,Y,Exempt - less than 5 units
3066,MACARTHUR BLVD,9/1/10,Y,Incomplete Evaluation
